brand,scr_path,pred_brand
DHL,apwg451514/2021-07/2021-07-20/2021-07-20-367.png,snapchat
PayPal,apwg451514/2021-07/2021-07-20/2021-07-20-1670.png,American Express
Facebook,apwg451514/2021-07/2021-07-20/2021-07-20-2031.png,Amazon
Facebook,apwg451514/2021-07/2021-07-20/2021-07-20-2097.png,Amazon
DHL,apwg451514/2021-07/2021-07-20/2021-07-20-3331.png,snapchat
Facebook,apwg451514/2021-07/2021-07-21/2021-07-21-3779.png,SunTrust Bank
Credit Agricole,apwg451514/2021-07/2021-07-29/2021-07-29-8003.png,fsnb
Credit Agricole,apwg451514/2021-07/2021-07-24/2021-07-24-9596.png,cogeco
UniCredit,apwg451514/2021-07/2021-07-16/2021-07-16-11085.png,Steam
Credit Agricole,apwg451514/2021-07/2021-07-16/2021-07-16-11575.png,fsnb
Facebook,apwg451514/2021-07/2021-07-30/2021-07-30-21485.png,
Credit Agricole,apwg451514/2021-08/2021-08-06/2021-08-06-1593.png,fsnb
Credit Agricole,apwg451514/2021-08/2021-08-18/2021-08-18-9554.png,fsnb
Credit Agricole,apwg451514/2021-08/2021-08-05/2021-08-05-16266.png,cogeco
DHL,apwg451514/2021-08/2021-08-05/2021-08-05-16843.png,La Poste
ING Group,apwg451514/2021-08/2021-08-05/2021-08-05-18055.png,TradeKey
Credit Agricole,apwg451514/2021-08/2021-08-03/2021-08-03-19417.png,fsnb
Credit Agricole,apwg451514/2021-08/2021-08-03/2021-08-03-19765.png,fsnb
Societe Generale Group,apwg451514/2021-08/2021-08-11/2021-08-11-30118.png,bradesco
Microsoft 365,apwg451514/2021-08/2021-08-14/2021-08-14-41643.png,bradesco
Microsoft 365,apwg451514/2021-08/2021-08-14/2021-08-14-41907.png,bradesco
Microsoft 365,apwg451514/2021-08/2021-08-14/2021-08-14-42288.png,bradesco
Microsoft 365,apwg451514/2021-08/2021-08-14/2021-08-14-44796.png,bradesco
Lloyds Bank,apwg451514/2021-08/2021-08-04/2021-08-04-47313.png,ieee
Microsoft 365,apwg451514/2021-08/2021-08-13/2021-08-13-49747.png,bradesco
Chase Bank,apwg451514/2021-08/2021-08-26/2021-08-26-51828.png,Lloyds TSB Group
Timeweb,apwg451514/2021-08/2021-08-26/2021-08-26-52199.png,Apple
Credit Agricole,apwg451514/2021-09/2021-09-16/2021-09-16-1473.png,fsnb
Adobe,apwg451514/2021-09/2021-09-28/2021-09-28-2269.png,htb
Facebook,apwg451514/2021-09/2021-09-29/2021-09-29-4857.png,Credit Suisse AG
DHL,apwg451514/2021-09/2021-09-01/2021-09-01-10231.png,DHL
Credit Agricole,apwg451514/2021-09/2021-09-18/2021-09-18-11145.png,fsnb
Bank of America,apwg451514/2021-09/2021-09-23/2021-09-23-20411.png,Itau Unibanco S.A
Adobe,apwg451514/2021-09/2021-09-14/2021-09-14-22008.png,LinkedIn Corporation
Bank of America,apwg451514/2021-09/2021-09-27/2021-09-27-24322.png,cathay_bank
LinkedIn,apwg451514/2021-09/2021-09-27/2021-09-27-25123.png,Bank of Montreal
"Rakuten Group, Inc.",apwg451514/2021-09/2021-09-05/2021-09-05-28919.png,UBS AG
Facebook,apwg451514/2021-09/2021-09-30/2021-09-30-33350.png,cogeco
Wells Fargo Bank,apwg451514/2021-09/2021-09-30/2021-09-30-33888.png,Canadian Imperial Bank of Commerce
Wells Fargo Bank,apwg451514/2021-09/2021-09-24/2021-09-24-38367.png,Sparkasse Bank
Wells Fargo Bank,apwg451514/2021-09/2021-09-24/2021-09-24-38541.png,Canadian Imperial Bank of Commerce
Wells Fargo Bank,apwg451514/2021-10/2021-10-26/2021-10-26-1000.png,Sparkasse Bank
Facebook,apwg451514/2021-10/2021-10-13/2021-10-13-20219.png,cogeco
Wells Fargo Bank,apwg451514/2021-10/2021-10-13/2021-10-13-22494.png,Wells Fargo & Company
Wells Fargo Bank,apwg451514/2021-10/2021-10-13/2021-10-13-25171.png,smiles
Facebook,apwg451514/2021-10/2021-10-19/2021-10-19-56093.png,cogeco
Wells Fargo Bank,apwg451514/2021-10/2021-10-19/2021-10-19-56883.png,IBC Bank
Credit Agricole,apwg451514/2021-10/2021-10-22/2021-10-22-63008.png,cogeco
Wells Fargo Bank,apwg451514/2021-10/2021-10-22/2021-10-22-63039.png,fsnb
Facebook,apwg451514/2021-10/2021-10-27/2021-10-27-64197.png,cogeco
Santander Bank,apwg451514/2021-10/2021-10-02/2021-10-02-77127.png,Landesbank Berlin AG
Facebook,apwg451514/2021-10/2021-10-14/2021-10-14-82276.png,
Wells Fargo Bank,apwg451514/2021-10/2021-10-18/2021-10-18-101902.png,grupo_bancolombia
Chase Bank,apwg451514/2021-10/2021-10-18/2021-10-18-108295.png,tech_target
DHL,apwg451514/2021-10/2021-10-24/2021-10-24-109511.png,DHL
Facebook,apwg451514/2021-10/2021-10-11/2021-10-11-120797.png,
Itau,apwg451514/2021-10/2021-10-11/2021-10-11-124603.png,fnac
Wells Fargo Bank,apwg451514/2021-10/2021-10-11/2021-10-11-126450.png,Sparkasse Bank
Chase Bank,apwg451514/2021-10/2021-10-11/2021-10-11-126889.png,azul
Orange,apwg451514/2021-10/2021-10-30/2021-10-30-132320.png,cathay_bank
DHL,apwg451514/2021-10/2021-10-30/2021-10-30-133561.png,DHL
Wells Fargo Bank,apwg451514/2021-10/2021-10-28/2021-10-28-135981.png,smiles
