brand,scr_path,pred_brand,manipulation
AT&T,apwg451514/2021-07/2021-07-23/2021-07-23-8324.png,,0
Facebook,apwg451514/2021-08/2021-08-25/2021-08-25-20362.png,,0
TD Bank Group,apwg451514/2021-08/2021-08-19/2021-08-19-21891.png,,Outdated
Facebook,apwg451514/2021-08/2021-08-07/2021-08-07-25193.png,,0
Itau Unibanco S.A,apwg451514/2021-08/2021-08-11/2021-08-11-29451.png,,Background
Facebook,apwg451514/2021-08/2021-08-20/2021-08-20-37086.png,,0
timeweb,apwg451514/2021-08/2021-08-26/2021-08-26-51678.png,,Color
timeweb,apwg451514/2021-08/2021-08-26/2021-08-26-52556.png,,Color
Square,apwg451514/2021-09/2021-09-16/2021-09-16-1615.png,,Division
Amazon,apwg451514/2021-09/2021-09-28/2021-09-28-4333.png,,0
Adobe,apwg451514/2021-09/2021-09-10/2021-09-10-8493.png,,0
Netflix,apwg451514/2021-09/2021-09-20/2021-09-20-18668.png,,Background
Wells Fargo & Company,apwg451514/2021-09/2021-09-20/2021-09-20-18942.png,,0
Square,apwg451514/2021-09/2021-09-14/2021-09-14-21777.png,,Division
Adobe,apwg451514/2021-09/2021-09-15/2021-09-15-27970.png,,0
Square,apwg451514/2021-09/2021-09-05/2021-09-05-28886.png,,Division
Facebook,apwg451514/2021-09/2021-09-24/2021-09-24-36989.png,,0
Wells Fargo & Company,apwg451514/2021-10/2021-10-26/2021-10-26-2332.png,,0
Chase Personal Banking,apwg451514/2021-10/2021-10-16/2021-10-16-8014.png,,Background
Grupo Santander,apwg451514/2021-10/2021-10-12/2021-10-12-48881.png,,0
Wells Fargo & Company,apwg451514/2021-10/2021-10-19/2021-10-19-55732.png,,0
Itau Unibanco S.A,apwg451514/2021-10/2021-10-19/2021-10-19-56013.png,,Background
SMBC,apwg451514/2021-10/2021-10-19/2021-10-19-56681.png,,0
Adobe,apwg451514/2021-10/2021-10-07/2021-10-07-57742.png,,0
Grupo Santander,apwg451514/2021-10/2021-10-07/2021-10-07-57809.png,,0
Facebook,apwg451514/2021-10/2021-10-22/2021-10-22-61575.png,,0
Wells Fargo & Company,apwg451514/2021-10/2021-10-27/2021-10-27-64059.png,,0
Adobe,apwg451514/2021-10/2021-10-18/2021-10-18-96569.png,,0
Square,apwg451514/2021-10/2021-10-03/2021-10-03-129027.png,,Division
Grupo Santander,apwg451514/2021-10/2021-10-31/2021-10-31-139127.png,,0
la_banque_postale,apwg451514/2021-10/2021-10-31/2021-10-31-140724.png,,0
Wells Fargo & Company,apwg451514/2021-10/2021-10-31/2021-10-31-143150.png,,0
American Express,apwg451514/2021-10/2021-10-31/2021-10-31-143285.png,,0
Adobe,apwg451514/2021-10/2021-10-08/2021-10-08-150336.png,,0
Facebook,apwg451514/2021-10/2021-10-04/2021-10-04-170557.png,,0
Facebook,apwg451514/2021-10/2021-10-04/2021-10-04-172271.png,,0
Facebook,apwg451514/2021-10/2021-10-04/2021-10-04-172376.png,,0
Netflix,apwg451514/2021-10/2021-10-04/2021-10-04-172732.png,,Background
Chase Personal Banking,apwg451514/2021-10/2021-10-04/2021-10-04-172925.png,,Background
Facebook,apwg451514/2021-10/2021-10-09/2021-10-09-173746.png,,Location
