brand,scr_path,pred_brand
PayPal,apwg451514/2021-07/2021-07-20/2021-07-20-1967.png,Standard Chartered Bank
Credit Agricole,apwg451514/2021-07/2021-07-21/2021-07-21-4574.png,tech_target
Credit Agricole,apwg451514/2021-07/2021-07-29/2021-07-29-5943.png,banco_de_occidente
Chase Bank,apwg451514/2021-07/2021-07-23/2021-07-23-8292.png,Chase Personal Banking
Credit Agricole,apwg451514/2021-07/2021-07-17/2021-07-17-14051.png,banco_de_occidente
BT Group,apwg451514/2021-07/2021-07-22/2021-07-22-19840.png,SNS Bank N.V
UniCredit,apwg451514/2021-07/2021-07-15/2021-07-15-20622.png,Alibaba
Facebook,apwg451514/2021-07/2021-07-30/2021-07-30-21600.png,Chase Personal Banking
Chase Bank,apwg451514/2021-07/2021-07-30/2021-07-30-22681.png,Chase Personal Banking
Adobe,apwg451514/2021-08/2021-08-31/2021-08-31-2487.png,Standard Chartered Bank
DHL,apwg451514/2021-08/2021-08-12/2021-08-12-5044.png,postbank
Microsoft 365,apwg451514/2021-08/2021-08-12/2021-08-12-6080.png,Webmail Provider
Adobe,apwg451514/2021-08/2021-08-16/2021-08-16-11107.png,Standard Chartered Bank
Credit Agricole,apwg451514/2021-08/2021-08-10/2021-08-10-13299.png,tech_target
Credit Agricole,apwg451514/2021-08/2021-08-03/2021-08-03-19193.png,banco_de_occidente
Microsoft 365,apwg451514/2021-08/2021-08-17/2021-08-17-33053.png,Webmail Provider
DHL,apwg451514/2021-08/2021-08-15/2021-08-15-35347.png,postbank
Adobe,apwg451514/2021-08/2021-08-02/2021-08-02-40780.png,Netflix
Credit Agricole,apwg451514/2021-08/2021-08-02/2021-08-02-41316.png,banco_de_occidente
Microsoft 365,apwg451514/2021-08/2021-08-14/2021-08-14-41551.png,Webmail Provider
Rabobank,apwg451514/2021-08/2021-08-04/2021-08-04-45459.png,Microsoft OneDrive
Rabobank,apwg451514/2021-08/2021-08-04/2021-08-04-46391.png,Microsoft OneDrive
Twitter,apwg451514/2021-08/2021-08-22/2021-08-22-52840.png,PayPal
Sparkasse,apwg451514/2021-09/2021-09-21/2021-09-21-48.png,Sparkasse Bank
Huntington Bank,apwg451514/2021-09/2021-09-29/2021-09-29-4604.png,Lloyds TSB Group
Huntington Bank,apwg451514/2021-09/2021-09-29/2021-09-29-6263.png,GoDaddy
Microsoft 365,apwg451514/2021-09/2021-09-10/2021-09-10-8540.png,Microsoft OneDrive
Chase Bank,apwg451514/2021-09/2021-09-10/2021-09-10-8689.png,Chase Personal Banking
Credit Agricole,apwg451514/2021-09/2021-09-01/2021-09-01-10307.png,banco_de_occidente
Sumitomo Mitsui Banking Corporation,apwg451514/2021-09/2021-09-18/2021-09-18-10967.png,CenturyLink
Banca Sella,apwg451514/2021-09/2021-09-09/2021-09-09-14064.png,banco_de_occidente
Credit Agricole,apwg451514/2021-09/2021-09-02/2021-09-02-16331.png,banco_de_occidente
LCL,apwg451514/2021-09/2021-09-13/2021-09-13-26931.png,Standard Chartered Bank
Caisses Desjardins,apwg451514/2021-09/2021-09-24/2021-09-24-37500.png,NedBank Limited
Facebook,apwg451514/2021-09/2021-09-24/2021-09-24-39808.png,Facebook
Chase Bank,apwg451514/2021-10/2021-10-26/2021-10-26-514.png,Chase Personal Banking
Rabobank,apwg451514/2021-10/2021-10-26/2021-10-26-2865.png,Microsoft OneDrive
Outlook,apwg451514/2021-10/2021-10-16/2021-10-16-3700.png,dkb
Chase Bank,apwg451514/2021-10/2021-10-16/2021-10-16-8388.png,Chase Personal Banking
Wells Fargo Bank,apwg451514/2021-10/2021-10-16/2021-10-16-9781.png,Wells Fargo & Company
Chase Bank,apwg451514/2021-10/2021-10-16/2021-10-16-13152.png,Chase Personal Banking
UniCredit,apwg451514/2021-10/2021-10-12/2021-10-12-37151.png,eharmony
Adobe,apwg451514/2021-10/2021-10-12/2021-10-12-37206.png,Standard Chartered Bank
Chase Bank,apwg451514/2021-10/2021-10-12/2021-10-12-38714.png,Chase Personal Banking
Facebook,apwg451514/2021-10/2021-10-19/2021-10-19-56093.png,Facebook
PayPal,apwg451514/2021-10/2021-10-07/2021-10-07-58499.png,Standard Chartered Bank
Outlook,apwg451514/2021-10/2021-10-22/2021-10-22-62541.png,dkb
AT&T,apwg451514/2021-10/2021-10-27/2021-10-27-64437.png,Adobe
Amazon,apwg451514/2021-10/2021-10-18/2021-10-18-109300.png,Microsoft OneDrive
ING Group,apwg451514/2021-10/2021-10-11/2021-10-11-124617.png,AutoScout24
Adobe,apwg451514/2021-10/2021-10-30/2021-10-30-132095.png,Standard Chartered Bank
United Services Automobile Association,apwg451514/2021-10/2021-10-30/2021-10-30-132421.png,IRS
LinkedIn,apwg451514/2021-10/2021-10-28/2021-10-28-135864.png,LinkedIn Corporation
DHL,apwg451514/2021-10/2021-10-28/2021-10-28-135904.png,Netflix
Wells Fargo Bank,apwg451514/2021-10/2021-10-31/2021-10-31-141158.png,Absa Group
Wells Fargo Bank,apwg451514/2021-10/2021-10-31/2021-10-31-141841.png,Wells Fargo & Company
Adobe,apwg451514/2021-10/2021-10-23/2021-10-23-143911.png,Standard Chartered Bank
Chase Bank,apwg451514/2021-10/2021-10-20/2021-10-20-145569.png,Chase Personal Banking
Credit Agricole,apwg451514/2021-10/2021-10-20/2021-10-20-146077.png,eharmony
Credit Agricole,apwg451514/2021-10/2021-10-20/2021-10-20-146241.png,tech_target
Lloyds Bank,apwg451514/2021-10/2021-10-08/2021-10-08-149788.png,NedBank Limited
TD Bank,apwg451514/2021-10/2021-10-09/2021-10-09-175216.png,Bankia
Alaska USA Federal Credit Union,apwg451514/2021-10/2021-10-25/2021-10-25-176217.png,Chase Personal Banking
Adobe,apwg451514/2021-10/2021-10-25/2021-10-25-176258.png,Standard Chartered Bank
Chase Bank,apwg451514/2021-10/2021-10-21/2021-10-21-182004.png,1&1 Ionos
Outlook,apwg451514/2021-10/2021-10-21/2021-10-21-184488.png,"Twitter, Inc"
Sumitomo Mitsui Banking Corporation,apwg451514/2021-10/2021-10-17/2021-10-17-193542.png,NedBank Limited
Facebook,apwg451514/2021-10/2021-10-15/2021-10-15-209921.png,Chase Personal Banking
Huntington Bank,apwg451514/2021-10/2021-10-15/2021-10-15-215365.png,GoDaddy
Credit Agricole,apwg451514/2021-10/2021-10-10/2021-10-10-224177.png,tech_target
eBay,apwg451514/2021-10/2021-10-06/2021-10-06-226110.png,NedBank Limited
M&T Bank Corporation,apwg451514/2021-10/2021-10-06/2021-10-06-227202.png,M & T Bank Coporation
Orange,apwg451514/2021-11/2021-11-02/2021-11-02-32858.png,Orange
DHL,apwg451514/2021-11/2021-11-16/2021-11-16-83011.png,mbank
PayPal,apwg451514/2021-11/2021-11-16/2021-11-16-84817.png,Standard Chartered Bank
Wells Fargo Bank,apwg451514/2021-11/2021-11-03/2021-11-03-85789.png,Absa Group
Chase Bank,apwg451514/2021-11/2021-11-03/2021-11-03-86459.png,Chase Personal Banking
Chase Bank,apwg451514/2021-11/2021-11-03/2021-11-03-87025.png,Chase Personal Banking
Credit Agricole,apwg451514/2021-11/2021-11-18/2021-11-18-87846.png,tech_target
YouTube,apwg451514/2021-11/2021-11-21/2021-11-21-95963.png,DHL
YouTube,apwg451514/2021-11/2021-11-21/2021-11-21-96638.png,Alibaba
YouTube,apwg451514/2021-11/2021-11-21/2021-11-21-96770.png,Alibaba
YouTube,apwg451514/2021-11/2021-11-21/2021-11-21-97883.png,Absa Group
Facebook,apwg451514/2021-11/2021-11-10/2021-11-10-98180.png,Facebook
Wells Fargo Bank,apwg451514/2021-11/2021-11-10/2021-11-10-101514.png,Absa Group
Raiffeisen Bank,apwg451514/2021-11/2021-11-10/2021-11-10-102807.png,Bankia
Wells Fargo Bank,apwg451514/2021-11/2021-11-10/2021-11-10-103633.png,Absa Group
Chase Bank,apwg451514/2021-11/2021-11-10/2021-11-10-103887.png,Chase Personal Banking
Wells Fargo Bank,apwg451514/2021-11/2021-11-10/2021-11-10-104263.png,Absa Group
Chase Bank,apwg451514/2021-11/2021-11-01/2021-11-01-110534.png,LinkedIn Corporation
Chase Bank,apwg451514/2021-11/2021-11-01/2021-11-01-111115.png,Chase Personal Banking
Credit Agricole,apwg451514/2021-11/2021-11-01/2021-11-01-111257.png,tech_target
Chase Bank,apwg451514/2021-11/2021-11-01/2021-11-01-111970.png,Chase Personal Banking
AT&T,apwg451514/2021-11/2021-11-29/2021-11-29-119245.png,AT&T
Wells Fargo Bank,apwg451514/2021-11/2021-11-12/2021-11-12-138507.png,Absa Group
