logo_path,pred_value,true_brand,pred_brand
../../../data/phishing4190/apwg_sample_4190/2021-10/2021-10-23/2021-10-23-143913_crop_logo.png,0.5643828,Instagram,Westpac Institutional Banking
../../../data/phishing4190/apwg_sample_4190/2022-06/2022-06-09/2022-06-09-571681_crop_logo.png,0.8728324,PayPal,PayPal
../../../data/phishing4190/apwg_sample_4190/2023-02/2023-02-25/2023-02-25-7497_crop_logo.png,0.88618976,AT&T,AT&T
../../../data/phishing4190/apwg_sample_4190/2021-07/2021-07-27/2021-07-27-16978_crop_logo.png,0.86057097,Itau,Itau Unibanco S.A
../../../data/phishing4190/apwg_sample_4190/2021-10/2021-10-09/2021-10-09-173796_crop_logo.png,0.90871036,Facebook,Facebook
../../../data/phishing4190/apwg_sample_4190/2021-09/2021-09-06/2021-09-06-16856_crop_logo.png,0.8478457,LinkedIn,LinkedIn Corporation
../../../data/phishing4190/apwg_sample_4190/2021-07/2021-07-20/2021-07-20-3566_crop_logo.png,0.8709754,PayPal,PayPal
../../../data/phishing4190/apwg_sample_4190/2022-01/2022-01-05/2022-01-05-8469_crop_logo.png,0.89491093,Internal Revenue Service,IRS
../../../data/phishing4190/apwg_sample_4190/2022-03/2022-03-03/2022-03-03-75947_crop_logo.png,0.8492455,Chase Bank,Chase Personal Banking
../../../data/phishing4190/apwg_sample_4190/2021-08/2021-08-15/2021-08-15-34392_crop_logo.png,0.8289979,Credit Agricole,Credit Agricole S.A
../../../data/phishing4190/apwg_sample_4190/2021-09/2021-09-23/2021-09-23-20265_crop_logo.png,0.85053587,Chase Bank,Chase Personal Banking
../../../data/phishing4190/apwg_sample_4190/2021-10/2021-10-13/2021-10-13-26716_crop_logo.png,0.8087783,Microsoft,Office365
../../../data/phishing4190/apwg_sample_4190/2022-06/2022-06-23/2022-06-23-41260_crop_logo.png,0.8408375,Santander Bank,Grupo Santander
../../../data/phishing4190/apwg_sample_4190/2021-09/2021-09-16/2021-09-16-1113_crop_logo.png,0.9077347,Amazon,Amazon
../../../data/phishing4190/apwg_sample_4190/2022-01/2022-01-15/2022-01-15-9941_crop_logo.png,0.8025647,Microsoft,Microsoft OneDrive
../../../data/phishing4190/apwg_sample_4190/2021-09/2021-09-12/2021-09-12-30706_crop_logo.png,0.45543057,Facebook,Universo Online
../../../data/phishing4190/apwg_sample_4190/2021-08/2021-08-29/2021-08-29-53668_crop_logo.png,0.9203886,Credit Agricole,Credit Agricole S.A
../../../data/phishing4190/apwg_sample_4190/2021-07/2021-07-27/2021-07-27-16733_crop_logo.png,0.8367387,DHL,DHL
../../../data/phishing4190/apwg_sample_4190/2023-07/2023-07-27/2023-07-27-35504_crop_logo.png,0.58956015,DHL,DHL
../../../data/phishing4190/apwg_sample_4190/2021-08/2021-08-15/2021-08-15-34861_crop_logo.png,0.6540347,Banco Pichincha,Banco de Cordoba
../../../data/phishing4190/apwg_sample_4190/2021-07/2021-07-18/2021-07-18-14771_crop_logo.png,0.8096693,Halifax,Halifax Bank of Scotland Plc
../../../data/phishing4190/apwg_sample_4190/2021-08/2021-08-20/2021-08-20-36500_crop_logo.png,0.8354094,Facebook,Facebook
