filename,manipulation,pred_class
2021-07_2619.png,0,Adobe
2021-07_5412.png,Outdated,youtube
2021-07_7063.png,Outdated,youtube
2021-07_7615.png,Outdated,youtube
2021-07_11678.png,Outdated,youtube
2021-07_12004.png,Outdated,youtube
2021-07_12311.png,Outdated,youtube
2021-07_20443.png,Outdated,youtube
2021-07_21014.png,Outdated,youtube
2021-08_20221.png,Outdated,TD Bank Group
2021-08_44841.png,0,Credit du Nord
2021-09_8302.png,0,Adobe
2021-09_9372.png,0,Adobe
2021-09_12960.png,Ratio or Scale,TD Bank Group
2021-09_19862.png,Popup,Bethpage Federal Credit Union
2021-09_21821.png,0,DHL
2021-09_27297.png,BrokenLogo,Office365
2021-09_38406.png,Popup,Bethpage Federal Credit Union
2021-10_331.png,0,Deutsche Telekom
2021-10_1670.png,0,Deutsche Telekom
2021-10_7263.png,0,Outlook
2021-10_23771.png,0,Adobe
2021-10_44833.png,0,MBNA Corportation
2021-10_56978.png,Color,1&1 Ionos
2021-10_56999.png,0,UBS AG
2021-10_62430.png,Deletion,AutoScout24
2021-10_142571.png,0,Westpac Institutional Banking
2021-10_143823.png,Combination,Facebook
2021-10_145118.png,Color,Office365
2021-10_184488.png,0,Outlook
2021-10_184904.png,Color,Office365
2021-11_30611.png,Combination,Google
2021-11_32811.png,Color,Adobe
2021-11_81192.png,Outdated,Office365
2021-11_85864.png,Outdated,Office365
2021-11_102894.png,0,Adobe
2021-11_103899.png,0,Adobe
2021-11_106091.png,Outdated,Office365
2021-11_107151.png,Outdated,Office365
2021-11_110389.png,0,Adobe
2021-11_139464.png,0,MBNA Corportation
2021-11_142117.png,0,Adobe
2021-11_143844.png,0,UBS AG
2021-11_145790.png,Color,1&1 Ionos
2021-11_150766.png,Outdated,Office365
2021-11_152616.png,0,Adobe
2021-11_157544.png,0,Westpac Institutional Banking
2021-11_159915.png,0,Adobe
2021-11_160813.png,0,Adobe
2021-11_164632.png,Combination,AT&T
2021-11_164740.png,AddTextClose,Credit du Nord
2021-11_164786.png,AddTextClose,Credit du Nord
2021-11_166935.png,Outdated,Office365
2021-11_168465.png,Outdated,Office365
2021-11_170145.png,Outdated,Office365
2021-11_178694.png,0,Adobe
