brand,scr_path,pred_brand,manipulation
Itau,apwg451514/2021-07/2021-07-23/2021-07-23-8246.png,,Background
UniCredit,apwg451514/2021-07/2021-07-16/2021-07-16-11176.png,,0
Itau,apwg451514/2021-07/2021-07-17/2021-07-17-14026.png,,Background
Itau,apwg451514/2021-07/2021-07-27/2021-07-27-16663.png,,Background
Facebook,apwg451514/2021-07/2021-07-27/2021-07-27-16780.png,,0
Itau,apwg451514/2021-07/2021-07-27/2021-07-27-16987.png,,Background
Itau,apwg451514/2021-07/2021-07-27/2021-07-27-17662.png,,Background
Timeweb,apwg451514/2021-07/2021-07-22/2021-07-22-18888.png,,Color
Webmail,apwg451514/2021-07/2021-07-22/2021-07-22-18956.png,,0
UniCredit,apwg451514/2021-07/2021-07-15/2021-07-15-20572.png,,0
UniCredit,apwg451514/2021-07/2021-07-15/2021-07-15-20645.png,,0
UniCredit,apwg451514/2021-07/2021-07-15/2021-07-15-20755.png,,0
UniCredit,apwg451514/2021-07/2021-07-15/2021-07-15-20878.png,,0
UniCredit,apwg451514/2021-07/2021-07-15/2021-07-15-21007.png,,0
Itau,apwg451514/2021-07/2021-07-30/2021-07-30-21834.png,,Background
Webmail,apwg451514/2021-07/2021-07-19/2021-07-19-23388.png,,0
Webmail,apwg451514/2021-07/2021-07-19/2021-07-19-23665.png,,0
Swiss Post,apwg451514/2021-07/2021-07-19/2021-07-19-24770.png,,Outdated
UniCredit,apwg451514/2021-07/2021-07-19/2021-07-19-24772.png,,0
UniCredit,apwg451514/2021-07/2021-07-19/2021-07-19-24915.png,,0
Apple,apwg451514/2021-07/2021-07-28/2021-07-28-25760.png,,0
Itau,apwg451514/2021-08/2021-08-12/2021-08-12-4906.png,,Background
Facebook,apwg451514/2021-08/2021-08-16/2021-08-16-11598.png,,0
Itau,apwg451514/2021-08/2021-08-05/2021-08-05-16073.png,,Background
Itau,apwg451514/2021-08/2021-08-03/2021-08-03-19078.png,,Background
Itau,apwg451514/2021-08/2021-08-03/2021-08-03-19133.png,,Background
Timeweb,apwg451514/2021-08/2021-08-11/2021-08-11-28208.png,,Color
Timeweb,apwg451514/2021-08/2021-08-11/2021-08-11-29009.png,,Color
Timeweb,apwg451514/2021-08/2021-08-11/2021-08-11-29805.png,,Color
Wells Fargo Bank,apwg451514/2021-08/2021-08-21/2021-08-21-31814.png,,0
Itau,apwg451514/2021-08/2021-08-15/2021-08-15-35529.png,,Background
Timeweb,apwg451514/2021-08/2021-08-20/2021-08-20-37453.png,,Color
Facebook,apwg451514/2021-08/2021-08-09/2021-08-09-39295.png,,0
LinkedIn,apwg451514/2021-08/2021-08-02/2021-08-02-40602.png,,Background
Timeweb,apwg451514/2021-08/2021-08-26/2021-08-26-51237.png,,Color
Timeweb,apwg451514/2021-08/2021-08-26/2021-08-26-51951.png,,0
Wells Fargo Bank,apwg451514/2021-09/2021-09-29/2021-09-29-4625.png,,0
Square Bank,apwg451514/2021-09/2021-09-29/2021-09-29-6072.png,,Division
Wells Fargo Bank,apwg451514/2021-09/2021-09-29/2021-09-29-6277.png,,0
Wells Fargo Bank,apwg451514/2021-09/2021-09-22/2021-09-22-12073.png,,0
GoDaddy,apwg451514/2021-09/2021-09-27/2021-09-27-23886.png,,Color
Square Bank,apwg451514/2021-09/2021-09-27/2021-09-27-24460.png,,Division
Chase Bank,apwg451514/2021-09/2021-09-11/2021-09-11-29251.png,,Background
Netflix,apwg451514/2021-09/2021-09-25/2021-09-25-30837.png,,Background
Netflix,apwg451514/2021-09/2021-09-25/2021-09-25-31106.png,,Background
Netflix,apwg451514/2021-09/2021-09-25/2021-09-25-31657.png,,Background
Square Bank,apwg451514/2021-09/2021-09-04/2021-09-04-35053.png,,Division
Wells Fargo Bank,apwg451514/2021-09/2021-09-24/2021-09-24-38188.png,,0
Chase Bank,apwg451514/2021-10/2021-10-16/2021-10-16-4878.png,,Background
Chase Bank,apwg451514/2021-10/2021-10-16/2021-10-16-6398.png,,Background
Wells Fargo Bank,apwg451514/2021-10/2021-10-16/2021-10-16-13076.png,,0
Chase Bank,apwg451514/2021-10/2021-10-16/2021-10-16-16963.png,,Background
Wells Fargo Bank,apwg451514/2021-10/2021-10-16/2021-10-16-17821.png,,0
Wells Fargo Bank,apwg451514/2021-10/2021-10-13/2021-10-13-23817.png,,0
Chase Bank,apwg451514/2021-10/2021-10-13/2021-10-13-33003.png,,Background
Wells Fargo Bank,apwg451514/2021-10/2021-10-07/2021-10-07-61006.png,,0
Chase Bank,apwg451514/2021-10/2021-10-22/2021-10-22-61817.png,,Background
Timeweb,apwg451514/2021-10/2021-10-27/2021-10-27-64913.png,,Color
Facebook,apwg451514/2021-10/2021-10-14/2021-10-14-89943.png,,Color
Chase Bank,apwg451514/2021-10/2021-10-18/2021-10-18-98067.png,,Background
Wells Fargo Bank,apwg451514/2021-10/2021-10-18/2021-10-18-103556.png,,0
Chase Bank,apwg451514/2021-10/2021-10-18/2021-10-18-107798.png,,0
Chase Bank,apwg451514/2021-10/2021-10-11/2021-10-11-119666.png,,Background
Chase Bank,apwg451514/2021-10/2021-10-11/2021-10-11-126912.png,,0
Wells Fargo Bank,apwg451514/2021-10/2021-10-30/2021-10-30-134594.png,,0
Wells Fargo Bank,apwg451514/2021-10/2021-10-28/2021-10-28-134932.png,,0
GOV.UK,apwg451514/2021-10/2021-10-28/2021-10-28-136596.png,,0
Chase Bank,apwg451514/2021-10/2021-10-28/2021-10-28-136796.png,,Background
Wells Fargo Bank,apwg451514/2021-10/2021-10-31/2021-10-31-139495.png,,0
Wells Fargo Bank,apwg451514/2021-10/2021-10-31/2021-10-31-140581.png,,0
Square Bank,apwg451514/2021-10/2021-10-31/2021-10-31-140963.png,,Division
Wells Fargo Bank,apwg451514/2021-10/2021-10-31/2021-10-31-142976.png,,0
Wells Fargo Bank,apwg451514/2021-10/2021-10-08/2021-10-08-149040.png,,0
Wells Fargo Bank,apwg451514/2021-10/2021-10-09/2021-10-09-173204.png,,0
Chase Bank,apwg451514/2021-10/2021-10-05/2021-10-05-179953.png,,Background
Amazon,apwg451514/2021-10/2021-10-05/2021-10-05-181044.png,,Deletion
Orange,apwg451514/2021-10/2021-10-21/2021-10-21-184098.png,,0
Chase Bank,apwg451514/2021-10/2021-10-17/2021-10-17-185191.png,,Background
Wells Fargo Bank,apwg451514/2021-10/2021-10-17/2021-10-17-185262.png,,0
Wells Fargo Bank,apwg451514/2021-10/2021-10-17/2021-10-17-191169.png,,0
Wells Fargo Bank,apwg451514/2021-10/2021-10-17/2021-10-17-195491.png,,0
Chase Bank,apwg451514/2021-10/2021-10-17/2021-10-17-197500.png,,Background
Adobe,apwg451514/2021-10/2021-10-15/2021-10-15-205520.png,,Color
Wells Fargo Bank,apwg451514/2021-10/2021-10-15/2021-10-15-207140.png,,0
Chase Bank,apwg451514/2021-10/2021-10-15/2021-10-15-210678.png,,Background
Wells Fargo Bank,apwg451514/2021-10/2021-10-15/2021-10-15-216166.png,,0
Wells Fargo Bank,apwg451514/2021-10/2021-10-15/2021-10-15-218527.png,,0
Wells Fargo Bank,apwg451514/2021-10/2021-10-06/2021-10-06-226143.png,,0
Wells Fargo Bank,apwg451514/2021-10/2021-10-06/2021-10-06-226161.png,,0
Chase Bank,apwg451514/2021-10/2021-10-06/2021-10-06-226686.png,,Background
LinkedIn,apwg451514/2021-11/2021-11-24/2021-11-24-670.png,,Background
Microsoft Bing,apwg451514/2021-11/2021-11-02/2021-11-02-32716.png,,Outdated
Chase Bank,apwg451514/2021-11/2021-11-02/2021-11-02-33863.png,,Background
Microsoft Bing,apwg451514/2021-11/2021-11-17/2021-11-17-34684.png,,Outdated
Microsoft Bing,apwg451514/2021-11/2021-11-17/2021-11-17-35018.png,,Outdated
Wells Fargo Bank,apwg451514/2021-11/2021-11-27/2021-11-27-46928.png,,0
Microsoft Bing,apwg451514/2021-11/2021-11-16/2021-11-16-80819.png,,Outdated
Microsoft Bing,apwg451514/2021-11/2021-11-16/2021-11-16-81382.png,,Outdated
Microsoft Bing,apwg451514/2021-11/2021-11-16/2021-11-16-82898.png,,Outdated
Microsoft Bing,apwg451514/2021-11/2021-11-16/2021-11-16-83492.png,,Outdated
Wells Fargo Bank,apwg451514/2021-11/2021-11-16/2021-11-16-83819.png,,0
Wells Fargo Bank,apwg451514/2021-11/2021-11-16/2021-11-16-84744.png,,0
Wells Fargo Bank,apwg451514/2021-11/2021-11-16/2021-11-16-84806.png,,0
Wells Fargo Bank,apwg451514/2021-11/2021-11-16/2021-11-16-85512.png,,0
Chase Bank,apwg451514/2021-11/2021-11-03/2021-11-03-85774.png,,Background
Chase Bank,apwg451514/2021-11/2021-11-03/2021-11-03-85872.png,,Background
Wells Fargo Bank,apwg451514/2021-11/2021-11-03/2021-11-03-85959.png,,0
Chase Bank,apwg451514/2021-11/2021-11-03/2021-11-03-86650.png,,Background
Orange,apwg451514/2021-11/2021-11-03/2021-11-03-87412.png,,0
Microsoft Bing,apwg451514/2021-11/2021-11-03/2021-11-03-87512.png,,Outdated
Microsoft Bing,apwg451514/2021-11/2021-11-18/2021-11-18-88756.png,,Outdated
LinkedIn,apwg451514/2021-11/2021-11-18/2021-11-18-90385.png,,0
Microsoft Bing,apwg451514/2021-11/2021-11-18/2021-11-18-91122.png,,Outdated
Microsoft Bing,apwg451514/2021-11/2021-11-20/2021-11-20-92503.png,,Outdated
Microsoft Bing,apwg451514/2021-11/2021-11-20/2021-11-20-94388.png,,Outdated
Microsoft Bing,apwg451514/2021-11/2021-11-21/2021-11-21-96089.png,,Deletion
Microsoft Bing,apwg451514/2021-11/2021-11-21/2021-11-21-96494.png,,Outdated
Microsoft Bing,apwg451514/2021-11/2021-11-21/2021-11-21-97012.png,,Outdated
Microsoft Bing,apwg451514/2021-11/2021-11-21/2021-11-21-97206.png,,Outdated
Microsoft Bing,apwg451514/2021-11/2021-11-21/2021-11-21-97213.png,,Outdated
Microsoft Bing,apwg451514/2021-11/2021-11-21/2021-11-21-97719.png,,Outdated
Chase Bank,apwg451514/2021-11/2021-11-10/2021-11-10-99178.png,,Background
Chase Bank,apwg451514/2021-11/2021-11-10/2021-11-10-99219.png,,Background
Wells Fargo Bank,apwg451514/2021-11/2021-11-10/2021-11-10-99614.png,,0
Orange,apwg451514/2021-11/2021-11-10/2021-11-10-99797.png,,0
Wells Fargo Bank,apwg451514/2021-11/2021-11-10/2021-11-10-102743.png,,0
GoDaddy,apwg451514/2021-11/2021-11-10/2021-11-10-104056.png,,Background
Microsoft Bing,apwg451514/2021-11/2021-11-25/2021-11-25-105471.png,,Outdated
Microsoft Bing,apwg451514/2021-11/2021-11-25/2021-11-25-105508.png,,Outdated
Microsoft Bing,apwg451514/2021-11/2021-11-25/2021-11-25-108134.png,,Outdated
Chase Bank,apwg451514/2021-11/2021-11-01/2021-11-01-110991.png,,Background
Chase Bank,apwg451514/2021-11/2021-11-01/2021-11-01-111206.png,,Background
Wells Fargo Bank,apwg451514/2021-11/2021-11-01/2021-11-01-111935.png,,0
Chase Bank,apwg451514/2021-11/2021-11-01/2021-11-01-112812.png,,Background
Chase Bank,apwg451514/2021-11/2021-11-01/2021-11-01-112891.png,,Background
Chase Bank,apwg451514/2021-11/2021-11-01/2021-11-01-112951.png,,Background
Microsoft Bing,apwg451514/2021-11/2021-11-12/2021-11-12-138630.png,,Outdated
Adobe,apwg451514/2021-11/2021-11-12/2021-11-12-139026.png,,Color
Chase Bank,apwg451514/2021-11/2021-11-08/2021-11-08-144349.png,,Background
Wells Fargo Bank,apwg451514/2021-11/2021-11-08/2021-11-08-144386.png,,0
Chase Bank,apwg451514/2021-11/2021-11-08/2021-11-08-145447.png,,Color
Orange,apwg451514/2021-11/2021-11-13/2021-11-13-148945.png,,0
Credit Agricole,apwg451514/2021-11/2021-11-13/2021-11-13-149363.png,,0
Microsoft Bing,apwg451514/2021-11/2021-11-13/2021-11-13-150820.png,,Outdated
Orange,apwg451514/2021-11/2021-11-09/2021-11-09-153897.png,,0
Wells Fargo Bank,apwg451514/2021-11/2021-11-09/2021-11-09-154401.png,,0
