brand,scr_path,pred_brand,manipulation
Orange,apwg451514/2021-07/2021-07-20/2021-07-20-2619.png,Adobe,0
DHL,apwg451514/2021-07/2021-07-29/2021-07-29-5412.png,youtube,Outdated
DHL,apwg451514/2021-07/2021-07-29/2021-07-29-7063.png,youtube,Outdated
DHL,apwg451514/2021-07/2021-07-29/2021-07-29-7615.png,youtube,Outdated
DHL,apwg451514/2021-07/2021-07-16/2021-07-16-11678.png,youtube,Outdated
DHL,apwg451514/2021-07/2021-07-16/2021-07-16-12004.png,youtube,Outdated
DHL,apwg451514/2021-07/2021-07-16/2021-07-16-12311.png,youtube,Outdated
DHL,apwg451514/2021-07/2021-07-15/2021-07-15-20443.png,youtube,Outdated
DHL,apwg451514/2021-07/2021-07-15/2021-07-15-21014.png,youtube,Outdated
TD Bank,apwg451514/2021-08/2021-08-25/2021-08-25-20221.png,TD Bank Group,Outdated
PayPal,apwg451514/2021-08/2021-08-14/2021-08-14-44841.png,Credit du Nord,0
Adobe,apwg451514/2021-09/2021-09-10/2021-09-10-8302.png,Adobe,0
Adobe,apwg451514/2021-09/2021-09-10/2021-09-10-9372.png,Adobe,0
eBay,apwg451514/2021-09/2021-09-22/2021-09-22-12960.png,TD Bank Group,Ratio or Scale
Caisses Desjardins,apwg451514/2021-09/2021-09-23/2021-09-23-19862.png,Bethpage Federal Credit Union,Popup
Orange,apwg451514/2021-09/2021-09-14/2021-09-14-21821.png,DHL,0
Facebook,apwg451514/2021-09/2021-09-13/2021-09-13-27297.png,Office365,BrokenLogo
Caisses Desjardins,apwg451514/2021-09/2021-09-24/2021-09-24-38406.png,Bethpage Federal Credit Union,Popup
Wells Fargo Bank,apwg451514/2021-10/2021-10-26/2021-10-26-331.png,Deutsche Telekom,0
Wells Fargo Bank,apwg451514/2021-10/2021-10-26/2021-10-26-1670.png,Deutsche Telekom,0
Outlook,apwg451514/2021-10/2021-10-16/2021-10-16-7263.png,Outlook,0
Adobe,apwg451514/2021-10/2021-10-13/2021-10-13-23771.png,Adobe,0
Apple,apwg451514/2021-10/2021-10-12/2021-10-12-44833.png,MBNA Corportation,0
Facebook,apwg451514/2021-10/2021-10-19/2021-10-19-56978.png,1&1 Ionos,Color
Apple,apwg451514/2021-10/2021-10-19/2021-10-19-56999.png,UBS AG,0
Wells Fargo Bank,apwg451514/2021-10/2021-10-22/2021-10-22-62430.png,AutoScout24,Deletion
Instagram,apwg451514/2021-10/2021-10-31/2021-10-31-142571.png,Westpac Institutional Banking,0
Facebook,apwg451514/2021-10/2021-10-23/2021-10-23-143823.png,Facebook,Combination
Adobe,apwg451514/2021-10/2021-10-20/2021-10-20-145118.png,Office365,Color
Outlook,apwg451514/2021-10/2021-10-21/2021-10-21-184488.png,Outlook,0
Adobe,apwg451514/2021-10/2021-10-21/2021-10-21-184904.png,Office365,Color
PayPal,apwg451514/2021-11/2021-11-23/2021-11-23-30611.png,Google,Combination
Orange,apwg451514/2021-11/2021-11-02/2021-11-02-32811.png,Adobe,Color
Microsoft Bing,apwg451514/2021-11/2021-11-16/2021-11-16-81192.png,Office365,Outdated
Microsoft Bing,apwg451514/2021-11/2021-11-03/2021-11-03-85864.png,Office365,Outdated
Orange,apwg451514/2021-11/2021-11-10/2021-11-10-102894.png,Adobe,0
Orange,apwg451514/2021-11/2021-11-10/2021-11-10-103899.png,Adobe,0
Microsoft Bing,apwg451514/2021-11/2021-11-25/2021-11-25-106091.png,Office365,Outdated
Microsoft Bing,apwg451514/2021-11/2021-11-25/2021-11-25-107151.png,Office365,Outdated
Orange,apwg451514/2021-11/2021-11-01/2021-11-01-110389.png,Adobe,0
Apple,apwg451514/2021-11/2021-11-12/2021-11-12-139464.png,MBNA Corportation,0
Orange,apwg451514/2021-11/2021-11-08/2021-11-08-142117.png,Adobe,0
Apple,apwg451514/2021-11/2021-11-08/2021-11-08-143844.png,UBS AG,0
Facebook,apwg451514/2021-11/2021-11-08/2021-11-08-145790.png,1&1 Ionos,Color
Microsoft Bing,apwg451514/2021-11/2021-11-13/2021-11-13-150766.png,Office365,Outdated
Orange,apwg451514/2021-11/2021-11-14/2021-11-14-152616.png,Adobe,0
Instagram,apwg451514/2021-11/2021-11-09/2021-11-09-157544.png,Westpac Institutional Banking,0
Orange,apwg451514/2021-11/2021-11-09/2021-11-09-159915.png,Adobe,0
Orange,apwg451514/2021-11/2021-11-09/2021-11-09-160813.png,Adobe,0
AT&T,apwg451514/2021-11/2021-11-22/2021-11-22-164632.png,AT&T,Combination
Societe Generale Group,apwg451514/2021-11/2021-11-22/2021-11-22-164740.png,Credit du Nord,AddTextClose
Societe Generale Group,apwg451514/2021-11/2021-11-22/2021-11-22-164786.png,Credit du Nord,AddTextClose
Microsoft Bing,apwg451514/2021-11/2021-11-19/2021-11-19-166935.png,Office365,Outdated
Microsoft Bing,apwg451514/2021-11/2021-11-19/2021-11-19-168465.png,Office365,Outdated
Microsoft Bing,apwg451514/2021-11/2021-11-19/2021-11-19-170145.png,Office365,Outdated
Orange,apwg451514/2021-11/2021-11-11/2021-11-11-178694.png,Adobe,0
Facebook,apwg451514/2021-11/2021-11-15/2021-11-15-186209.png,youtube,0
Orange,apwg451514/2021-11/2021-11-15/2021-11-15-187615.png,Adobe,0
Swiss Post,apwg451514/2021-12/2021-12-26/2021-12-26-6079.png,Swiss Post,Outdated
Apple,apwg451514/2021-12/2021-12-23/2021-12-23-37790.png,UBS AG,0
Instagram,apwg451514/2021-12/2021-12-01/2021-12-01-54811.png,Westpac Institutional Banking,0
eBay,apwg451514/2022-01/2022-01-10/2022-01-10-5091.png,Huntington Bank,Ratio or Scale
Yahoo,apwg451514/2022-01/2022-01-05/2022-01-05-8215.png,Yahoo!,Color
Facebook,apwg451514/2022-01/2022-01-15/2022-01-15-9937.png,test_rite,Combination
Facebook,apwg451514/2022-01/2022-01-15/2022-01-15-10158.png,test_rite,Combination
Facebook,apwg451514/2022-01/2022-01-15/2022-01-15-10197.png,test_rite,Combination
Instagram,apwg451514/2022-01/2022-01-15/2022-01-15-10306.png,Westpac Institutional Banking,0
Facebook,apwg451514/2022-01/2022-01-15/2022-01-15-10321.png,test_rite,Combination
Facebook,apwg451514/2022-01/2022-01-15/2022-01-15-10587.png,test_rite,Combination
Facebook,apwg451514/2022-01/2022-01-15/2022-01-15-10889.png,test_rite,Combination
Facebook,apwg451514/2022-01/2022-01-15/2022-01-15-10945.png,test_rite,Combination
AT&T,apwg451514/2022-01/2022-01-27/2022-01-27-12373.png,Standard Chartered Bank,Combination
Amazon,apwg451514/2022-01/2022-01-09/2022-01-09-16908.png,hfe,Deletion
Adobe,apwg451514/2022-01/2022-01-25/2022-01-25-20670.png,Office365,Color
Swiss Post,apwg451514/2022-01/2022-01-23/2022-01-23-23788.png,PostFinance,Outdated
Facebook,apwg451514/2022-01/2022-01-29/2022-01-29-30502.png,Banco de Chile,0
