scr_path,phish,min_distances,only_name,Closest
apwg_sample_4190/2021-11/2021-11-16/2021-11-16-81737.png,0,1.3631,../../data/targetlist/merge277/typeform/T137_19.png,Targetlist: ../../data/targetlist/merge277/typeform/T137_19.png
apwg_sample_4190/2021-10/2021-10-23/2021-10-23-143913.png,1,0.9942,../../data/targetlist/merge277/Google/T65_19.png,Targetlist: ../../data/targetlist/merge277/Google/T65_19.png
apwg_sample_4190/2022-06/2022-06-09/2022-06-09-571681.png,1,0.3392,../../data/targetlist/merge277/PayPal/T108_69.png,Targetlist: ../../data/targetlist/merge277/PayPal/T108_69.png
apwg_sample_4190/2023-02/2023-02-25/2023-02-25-7497.png,1,0.9141,../../data/targetlist/merge277/Adobe/T2_68.png,Targetlist: ../../data/targetlist/merge277/Adobe/T2_68.png
apwg_sample_4190/2021-07/2021-07-27/2021-07-27-16978.png,0,1.1809,../../data/targetlist/merge277/Google/T65_24.png,Targetlist: ../../data/targetlist/merge277/Google/T65_24.png
apwg_sample_4190/2021-10/2021-10-09/2021-10-09-173796.png,0,1.3168,../../data/targetlist/merge277/Chase Personal Banking/T39_88.png,Targetlist: ../../data/targetlist/merge277/Chase Personal Banking/T39_88.png
apwg_sample_4190/2021-08/2021-08-17/2021-08-17-33871.png,0,1.2844,../../data/targetlist/merge277/blizzard/T26_66.png,Targetlist: ../../data/targetlist/merge277/blizzard/T26_66.png
apwg_sample_4190/2021-09/2021-09-06/2021-09-06-16856.png,1,0.4913,../../data/targetlist/merge277/LinkedIn Corporation/T84_28.png,Targetlist: ../../data/targetlist/merge277/LinkedIn Corporation/T84_28.png
apwg_sample_4190/2021-07/2021-07-20/2021-07-20-3566.png,0,1.0305,../../data/targetlist/merge277/Standard Chartered Bank/T121_84.png,Targetlist: ../../data/targetlist/merge277/Standard Chartered Bank/T121_84.png
apwg_sample_4190/2021-09/2021-09-21/2021-09-21-234.png,0,1.2885,../../data/targetlist/merge277/Google/T147_15.png,Targetlist: ../../data/targetlist/merge277/Google/T147_15.png
apwg_sample_4190/2022-01/2022-01-05/2022-01-05-8469.png,1,0.6551,../../data/targetlist/merge277/IRS/T76_46.png,Targetlist: ../../data/targetlist/merge277/IRS/T76_46.png
apwg_sample_4190/2022-03/2022-03-03/2022-03-03-75947.png,0,1.3626,../../data/targetlist/merge277/Chase Personal Banking/T39_27.png,Targetlist: ../../data/targetlist/merge277/Chase Personal Banking/T39_27.png
apwg_sample_4190/2021-08/2021-08-15/2021-08-15-34392.png,0,1.2964,../../data/targetlist/merge277/banco_de_occidente/T18_17.png,Targetlist: ../../data/targetlist/merge277/banco_de_occidente/T18_17.png
apwg_sample_4190/2021-09/2021-09-23/2021-09-23-20265.png,0,1.1322,../../data/targetlist/merge277/Chase Personal Banking/T39_98.png,Targetlist: ../../data/targetlist/merge277/Chase Personal Banking/T39_98.png
apwg_sample_4190/2021-10/2021-10-13/2021-10-13-26716.png,0,1.3047,../../data/targetlist/merge277/htb/T70_1.png,Targetlist: ../../data/targetlist/merge277/htb/T70_1.png
apwg_sample_4190/2022-06/2022-06-23/2022-06-23-41260.png,1,0.8903,../../data/targetlist/merge277/Absa Group/T0_10.png,Targetlist: ../../data/targetlist/merge277/Absa Group/T0_10.png
apwg_sample_4190/2021-09/2021-09-16/2021-09-16-1113.png,1,0.1266,../../data/targetlist/merge277/Amazon/T7_8.png,Targetlist: ../../data/targetlist/merge277/Amazon/T7_8.png
apwg_sample_4190/2022-01/2022-01-15/2022-01-15-9941.png,1,0.8036,../../data/targetlist/merge277/RBC Royal Bank/T111_69.png,Targetlist: ../../data/targetlist/merge277/RBC Royal Bank/T111_69.png
apwg_sample_4190/2021-09/2021-09-12/2021-09-12-30706.png,0,1.1103,../../data/targetlist/merge277/Facebook/T59_50.PNG,Targetlist: ../../data/targetlist/merge277/Facebook/T59_50.PNG
apwg_sample_4190/2021-09/2021-09-03/2021-09-03-14783.png,0,2.7183,../../data/targetlist/merge277/1&1 Ionos/T102_48.png,Targetlist: ../../data/targetlist/merge277/1&1 Ionos/T102_48.png
