brand,scr_path,pred_brand,manipulation
Chase Bank,apwg451514/2021-07/2021-07-20/2021-07-20-1046.png,,Background
Credit Agricole,apwg451514/2021-07/2021-07-20/2021-07-20-2072.png,,0
PayPal,apwg451514/2021-07/2021-07-20/2021-07-20-3324.png,,0
Apple,apwg451514/2021-07/2021-07-27/2021-07-27-16335.png,,0
DHL,apwg451514/2021-07/2021-07-15/2021-07-15-21092.png,,Outdated
eBay,apwg451514/2021-08/2021-08-30/2021-08-30-3462.png,,Ratio or Scale
Timeweb,apwg451514/2021-08/2021-08-16/2021-08-16-10892.png,,Color
Timeweb,apwg451514/2021-08/2021-08-11/2021-08-11-29500.png,,Color
Timeweb,apwg451514/2021-08/2021-08-11/2021-08-11-30040.png,,Color
Credit Agricole,apwg451514/2021-08/2021-08-04/2021-08-04-47634.png,,0
Facebook,apwg451514/2021-08/2021-08-22/2021-08-22-52926.png,,Combination
Itau,apwg451514/2021-09/2021-09-28/2021-09-28-2309.png,,0
Adobe,apwg451514/2021-09/2021-09-10/2021-09-10-8302.png,,0
Adobe,apwg451514/2021-09/2021-09-01/2021-09-01-9794.png,,Color
DHL,apwg451514/2021-09/2021-09-09/2021-09-09-13964.png,,Outdated
WhatsApp,apwg451514/2021-09/2021-09-03/2021-09-03-14601.png,,Location
WhatsApp,apwg451514/2021-09/2021-09-03/2021-09-03-15016.png,,Location
WhatsApp,apwg451514/2021-09/2021-09-06/2021-09-06-16967.png,,Location
Caisses Desjardins,apwg451514/2021-09/2021-09-23/2021-09-23-20363.png,,Popup
Caisses Desjardins,apwg451514/2021-09/2021-09-23/2021-09-23-21387.png,,Popup
GoDaddy,apwg451514/2021-09/2021-09-27/2021-09-27-22510.png,,Background
Itau,apwg451514/2021-09/2021-09-27/2021-09-27-22808.png,,0
Itau,apwg451514/2021-09/2021-09-27/2021-09-27-24440.png,,0
Itau,apwg451514/2021-09/2021-09-27/2021-09-27-25102.png,,0
Facebook,apwg451514/2021-09/2021-09-12/2021-09-12-30684.png,,Color
Itau,apwg451514/2021-09/2021-09-30/2021-09-30-33175.png,,0
Caisses Desjardins,apwg451514/2021-09/2021-09-24/2021-09-24-36972.png,,Popup
Caisses Desjardins,apwg451514/2021-09/2021-09-24/2021-09-24-37991.png,,Popup
Amazon,apwg451514/2021-10/2021-10-26/2021-10-26-2596.png,,0
DHL,apwg451514/2021-10/2021-10-12/2021-10-12-35983.png,,0
Facebook,apwg451514/2021-10/2021-10-12/2021-10-12-45409.png,,Color
DHL,apwg451514/2021-10/2021-10-12/2021-10-12-46867.png,,0
Sumitomo Mitsui Banking Corporation,apwg451514/2021-10/2021-10-19/2021-10-19-55451.png,,0
Amazon,apwg451514/2021-10/2021-10-27/2021-10-27-65107.png,,0
Webmail,apwg451514/2021-10/2021-10-20/2021-10-20-144518.png,,0
Sumitomo Mitsui Banking Corporation,apwg451514/2021-10/2021-10-20/2021-10-20-145879.png,,0
Chase Bank,apwg451514/2021-10/2021-10-08/2021-10-08-149981.png,,Background
Credit Agricole,apwg451514/2021-10/2021-10-08/2021-10-08-150349.png,,0
Apple,apwg451514/2021-10/2021-10-06/2021-10-06-225810.png,,0
Chase Bank,apwg451514/2021-10/2021-10-06/2021-10-06-227088.png,,Background
Microsoft Bing,apwg451514/2021-11/2021-11-23/2021-11-23-30981.png,,Outdated
YouTube,apwg451514/2021-11/2021-11-23/2021-11-23-32199.png,,0
PayPal,apwg451514/2021-11/2021-11-02/2021-11-02-32884.png,,0
Microsoft Bing,apwg451514/2021-11/2021-11-02/2021-11-02-34311.png,,Outdated
Microsoft Bing,apwg451514/2021-11/2021-11-17/2021-11-17-36534.png,,Outdated
Santander Bank,apwg451514/2021-11/2021-11-18/2021-11-18-90454.png,,0
Santander Bank,apwg451514/2021-11/2021-11-18/2021-11-18-91526.png,,0
Microsoft Bing,apwg451514/2021-11/2021-11-18/2021-11-18-91887.png,,0
YouTube,apwg451514/2021-11/2021-11-20/2021-11-20-92671.png,,0
YouTube,apwg451514/2021-11/2021-11-20/2021-11-20-95076.png,,0
YouTube,apwg451514/2021-11/2021-11-21/2021-11-21-95660.png,,0
YouTube,apwg451514/2021-11/2021-11-21/2021-11-21-95780.png,,0
YouTube,apwg451514/2021-11/2021-11-21/2021-11-21-96064.png,,0
Microsoft Bing,apwg451514/2021-11/2021-11-21/2021-11-21-96190.png,,Outdated
YouTube,apwg451514/2021-11/2021-11-21/2021-11-21-96509.png,,0
YouTube,apwg451514/2021-11/2021-11-21/2021-11-21-97173.png,,0
Microsoft Bing,apwg451514/2021-11/2021-11-21/2021-11-21-97643.png,,Outdated
YouTube,apwg451514/2021-11/2021-11-21/2021-11-21-97699.png,,0
YouTube,apwg451514/2021-11/2021-11-21/2021-11-21-97961.png,,0
Raiffeisen Bank,apwg451514/2021-11/2021-11-10/2021-11-10-98232.png,,0
Orange,apwg451514/2021-11/2021-11-10/2021-11-10-99357.png,,0
Orange,apwg451514/2021-11/2021-11-10/2021-11-10-99721.png,,0
Chase Bank,apwg451514/2021-11/2021-11-10/2021-11-10-99832.png,,Background
DHL,apwg451514/2021-11/2021-11-10/2021-11-10-100977.png,,0
Raiffeisen Bank,apwg451514/2021-11/2021-11-10/2021-11-10-101030.png,,0
Orange,apwg451514/2021-11/2021-11-10/2021-11-10-101857.png,,0
Orange,apwg451514/2021-11/2021-11-10/2021-11-10-101982.png,,0
Orange,apwg451514/2021-11/2021-11-10/2021-11-10-102262.png,,0
DHL,apwg451514/2021-11/2021-11-10/2021-11-10-102778.png,,0
Sumitomo Mitsui Banking Corporation,apwg451514/2021-11/2021-11-25/2021-11-25-105718.png,,0
DHL,apwg451514/2021-11/2021-11-01/2021-11-01-112619.png,,0
Raiffeisen Bank,apwg451514/2021-11/2021-11-12/2021-11-12-137149.png,,0
Raiffeisen Bank,apwg451514/2021-11/2021-11-12/2021-11-12-137626.png,,0
Raiffeisen Bank,apwg451514/2021-11/2021-11-12/2021-11-12-139169.png,,0
Raiffeisen Bank,apwg451514/2021-11/2021-11-12/2021-11-12-139286.png,,0
Raiffeisen Bank,apwg451514/2021-11/2021-11-12/2021-11-12-140104.png,,0
Raiffeisen Bank,apwg451514/2021-11/2021-11-12/2021-11-12-140870.png,,0
Raiffeisen Bank,apwg451514/2021-11/2021-11-13/2021-11-13-149438.png,,0
Raiffeisen Bank,apwg451514/2021-11/2021-11-13/2021-11-13-149584.png,,0
Microsoft Bing,apwg451514/2021-11/2021-11-14/2021-11-14-151087.png,,Outdated
Raiffeisen Bank,apwg451514/2021-11/2021-11-14/2021-11-14-151273.png,,0
Raiffeisen Bank,apwg451514/2021-11/2021-11-14/2021-11-14-151556.png,,0
Raiffeisen Bank,apwg451514/2021-11/2021-11-14/2021-11-14-152468.png,,0
Raiffeisen Bank,apwg451514/2021-11/2021-11-14/2021-11-14-153566.png,,0
Banco do Brasil,apwg451514/2021-11/2021-11-09/2021-11-09-153973.png,,Popup
Orange,apwg451514/2021-11/2021-11-09/2021-11-09-155445.png,,0
YouTube,apwg451514/2021-11/2021-11-22/2021-11-22-162166.png,,0
YouTube,apwg451514/2021-11/2021-11-22/2021-11-22-162216.png,,0
YouTube,apwg451514/2021-11/2021-11-22/2021-11-22-163148.png,,0
Societe Generale Group,apwg451514/2021-11/2021-11-22/2021-11-22-163526.png,,AddTextClose
YouTube,apwg451514/2021-11/2021-11-22/2021-11-22-164517.png,,0
YouTube,apwg451514/2021-11/2021-11-22/2021-11-22-165742.png,,0
YouTube,apwg451514/2021-11/2021-11-19/2021-11-19-166607.png,,0
YouTube,apwg451514/2021-11/2021-11-19/2021-11-19-167017.png,,0
YouTube,apwg451514/2021-11/2021-11-19/2021-11-19-168888.png,,0
YouTube,apwg451514/2021-11/2021-11-19/2021-11-19-170412.png,,0
Wells Fargo Bank,apwg451514/2021-11/2021-11-19/2021-11-19-170918.png,,0
Microsoft Bing,apwg451514/2021-11/2021-11-19/2021-11-19-171416.png,,Outdated
Microsoft Bing,apwg451514/2021-11/2021-11-19/2021-11-19-172744.png,,Outdated
Microsoft Bing,apwg451514/2021-11/2021-11-19/2021-11-19-175766.png,,Outdated
Microsoft Bing,apwg451514/2021-11/2021-11-11/2021-11-11-176290.png,,Outdated
Orange,apwg451514/2021-11/2021-11-11/2021-11-11-176942.png,,0
Raiffeisen Bank,apwg451514/2021-11/2021-11-15/2021-11-15-184901.png,,0
LinkedIn,apwg451514/2021-11/2021-11-15/2021-11-15-186125.png,,0
Raiffeisen Bank,apwg451514/2021-11/2021-11-15/2021-11-15-186186.png,,0
GoDaddy,apwg451514/2021-12/2021-12-13/2021-12-13-5155.png,,Background
Apple,apwg451514/2022-01/2022-01-14/2022-01-14-4487.png,,0
Adobe,apwg451514/2022-01/2022-01-17/2022-01-17-9525.png,,Color
Facebook,apwg451514/2022-01/2022-01-15/2022-01-15-10686.png,,Combination
LinkedIn,apwg451514/2022-01/2022-01-02/2022-01-02-17720.png,,Background
