brand,domain,scr_path,html_path
Shopify,myshopupdated.com,apwg_sample_4190/2021-11/2021-11-16/2021-11-16-81737.png,apwg_sample_4190/2021-11/2021-11-16/2021-11-16-81737.html
Instagram,oc-caught-healing-pin.trycloudflare.com,apwg_sample_4190/2021-10/2021-10-23/2021-10-23-143913.png,apwg_sample_4190/2021-10/2021-10-23/2021-10-23-143913.html
PayPal,103.157.253.194,apwg_sample_4190/2022-06/2022-06-09/2022-06-09-571681.png,apwg_sample_4190/2022-06/2022-06-09/2022-06-09-571681.html
AT&T,maricruzrvr.wixsite.com,apwg_sample_4190/2023-02/2023-02-25/2023-02-25-7497.png,apwg_sample_4190/2023-02/2023-02-25/2023-02-25-7497.html
Itau,302721e7-4e4e-415a-90ef-c32e6f66c17d.id.repl.co,apwg_sample_4190/2021-07/2021-07-27/2021-07-27-16978.png,apwg_sample_4190/2021-07/2021-07-27/2021-07-27-16978.html
Facebook,images-r0y9yp964.salamazerbaycan.az,apwg_sample_4190/2021-10/2021-10-09/2021-10-09-173796.png,apwg_sample_4190/2021-10/2021-10-09/2021-10-09-173796.html
VTB Bank,193.142.59.224,apwg_sample_4190/2021-08/2021-08-17/2021-08-17-33871.png,apwg_sample_4190/2021-08/2021-08-17/2021-08-17-33871.html
LinkedIn,www.linkedin.com,apwg_sample_4190/2021-09/2021-09-06/2021-09-06-16856.png,apwg_sample_4190/2021-09/2021-09-06/2021-09-06-16856.html
PayPal,www.scurelimited-paypal-sign.cloudns.cl,apwg_sample_4190/2021-07/2021-07-20/2021-07-20-3566.png,apwg_sample_4190/2021-07/2021-07-20/2021-07-20-3566.html
Rabobank,mystifying-hodgkin.109-71-253-24.plesk.page,apwg_sample_4190/2021-09/2021-09-21/2021-09-21-234.png,apwg_sample_4190/2021-09/2021-09-21/2021-09-21-234.html
Internal Revenue Service,web-irs-ein.com,apwg_sample_4190/2022-01/2022-01-05/2022-01-05-8469.png,apwg_sample_4190/2022-01/2022-01-05/2022-01-05-8469.html
Chase Bank,sl.al,apwg_sample_4190/2022-03/2022-03-03/2022-03-03-75947.png,apwg_sample_4190/2022-03/2022-03-03/2022-03-03-75947.html
Credit Agricole,censor.be,apwg_sample_4190/2021-08/2021-08-15/2021-08-15-34392.png,apwg_sample_4190/2021-08/2021-08-15/2021-08-15-34392.html
Chase Bank,vacunatearg.mineolo.com,apwg_sample_4190/2021-09/2021-09-23/2021-09-23-20265.png,apwg_sample_4190/2021-09/2021-09-23/2021-09-23-20265.html
Microsoft,radiomanantial.cl,apwg_sample_4190/2021-10/2021-10-13/2021-10-13-26716.png,apwg_sample_4190/2021-10/2021-10-13/2021-10-13-26716.html
Santander Bank,cancellation-device-support.com,apwg_sample_4190/2022-06/2022-06-23/2022-06-23-41260.png,apwg_sample_4190/2022-06/2022-06-23/2022-06-23-41260.html
Amazon,giorkle.com,apwg_sample_4190/2021-09/2021-09-16/2021-09-16-1113.png,apwg_sample_4190/2021-09/2021-09-16/2021-09-16-1113.html
Microsoft,ryanicolehoward.com,apwg_sample_4190/2022-01/2022-01-15/2022-01-15-9941.png,apwg_sample_4190/2022-01/2022-01-15/2022-01-15-9941.html
Facebook,cfhuyatakola23.cf,apwg_sample_4190/2021-09/2021-09-12/2021-09-12-30706.png,apwg_sample_4190/2021-09/2021-09-12/2021-09-12-30706.html
VTB Bank,185.46.8.71,apwg_sample_4190/2021-09/2021-09-03/2021-09-03-14783.png,apwg_sample_4190/2021-09/2021-09-03/2021-09-03-14783.html
Credit Agricole,rebeccakontus.ee,apwg_sample_4190/2021-08/2021-08-29/2021-08-29-53668.png,apwg_sample_4190/2021-08/2021-08-29/2021-08-29-53668.html
Netflix,fishermanager.com,apwg_sample_4190/2021-09/2021-09-03/2021-09-03-15314.png,apwg_sample_4190/2021-09/2021-09-03/2021-09-03-15314.html
DHL,millestroincua.com,apwg_sample_4190/2021-07/2021-07-27/2021-07-27-16733.png,apwg_sample_4190/2021-07/2021-07-27/2021-07-27-16733.html
DHL,link.sbstck.com,apwg_sample_4190/2023-07/2023-07-27/2023-07-27-35504.png,apwg_sample_4190/2023-07/2023-07-27/2023-07-27-35504.html
Banco Pichincha,hotelciudadsenoras.com,apwg_sample_4190/2021-08/2021-08-15/2021-08-15-34861.png,apwg_sample_4190/2021-08/2021-08-15/2021-08-15-34861.html
Halifax,www.lioyds-fraud-alert.com,apwg_sample_4190/2021-07/2021-07-18/2021-07-18-14771.png,apwg_sample_4190/2021-07/2021-07-18/2021-07-18-14771.html
