filename,manipulation,true_brand,pred_brand
2021-07_8246.png,Background,Itau,
2021-07_11176.png,0,UniCredit,
2021-07_14026.png,Background,Itau,
2021-07_16663.png,Background,Itau,
2021-07_16780.png,0,Facebook,
2021-07_16987.png,Background,Itau,
2021-07_17662.png,Background,Itau,
2021-07_18888.png,Color,Timeweb,
2021-07_18956.png,0,Webmail,
2021-07_20572.png,0,UniCredit,
2021-07_20645.png,0,UniCredit,
2021-07_20755.png,0,UniCredit,
2021-07_20878.png,0,UniCredit,
2021-07_21007.png,0,UniCredit,
2021-07_21834.png,Background,Itau,
2021-07_23388.png,0,Webmail,
2021-07_23665.png,0,Webmail,
2021-07_24770.png,Outdated,Swiss Post,
2021-07_24772.png,0,UniCredit,
2021-07_24915.png,0,UniCredit,
2021-07_25760.png,0,Apple,
2021-08_4906.png,Background,Itau,
2021-08_11598.png,0,Facebook,
2021-08_16073.png,Background,Itau,
2021-08_19078.png,Background,Itau,
2021-08_19133.png,Background,Itau,
2021-08_28208.png,Color,Timeweb,
2021-08_29009.png,Color,Timeweb,
2021-08_29805.png,Color,Timeweb,
2021-08_31814.png,0,Wells Fargo Bank,
2021-08_35529.png,Background,Itau,
2021-08_37453.png,Color,Timeweb,
2021-08_39295.png,0,Facebook,
2021-08_40602.png,Background,LinkedIn,
2021-08_51237.png,Color,Timeweb,
2021-08_51951.png,0,Timeweb,
2021-09_4625.png,0,Wells Fargo Bank,
2021-09_6072.png,Division,Square Bank,
2021-09_6277.png,0,Wells Fargo Bank,
2021-09_12073.png,0,Wells Fargo Bank,
2021-09_23886.png,Color,GoDaddy,
2021-09_24460.png,Division,Square Bank,
2021-09_29251.png,Background,Chase Bank,
2021-09_30837.png,Background,Netflix,
2021-09_31106.png,Background,Netflix,
2021-09_31657.png,Background,Netflix,
2021-09_35053.png,Division,Square Bank,
2021-09_38188.png,0,Wells Fargo Bank,
2021-10_4878.png,Background,Chase Bank,
2021-10_6398.png,Background,Chase Bank,
2021-10_13076.png,0,Wells Fargo Bank,
2021-10_16963.png,Background,Chase Bank,
2021-10_17821.png,0,Wells Fargo Bank,
2021-10_23817.png,0,Wells Fargo Bank,
2021-10_33003.png,Background,Chase Bank,
2021-10_61006.png,0,Wells Fargo Bank,
2021-10_61817.png,Background,Chase Bank,
2021-10_64913.png,Color,Timeweb,
2021-10_89943.png,Color,Facebook,
2021-10_98067.png,Background,Chase Bank,
2021-10_103556.png,0,Wells Fargo Bank,
2021-10_107798.png,0,Chase Bank,
2021-10_119666.png,Background,Chase Bank,
2021-10_126912.png,0,Chase Bank,
2021-10_134594.png,0,Wells Fargo Bank,
2021-10_134932.png,0,Wells Fargo Bank,
2021-10_136596.png,0,GOV.UK,
2021-10_136796.png,Background,Chase Bank,
2021-10_139495.png,0,Wells Fargo Bank,
2021-10_140581.png,0,Wells Fargo Bank,
2021-10_140963.png,Division,Square Bank,
2021-10_142976.png,0,Wells Fargo Bank,
2021-10_149040.png,0,Wells Fargo Bank,
2021-10_173204.png,0,Wells Fargo Bank,
2021-10_179953.png,Background,Chase Bank,
2021-10_181044.png,Deletion,Amazon,
2021-10_184098.png,0,Orange,
2021-10_185191.png,Background,Chase Bank,
2021-10_185262.png,0,Wells Fargo Bank,
2021-10_191169.png,0,Wells Fargo Bank,
2021-10_195491.png,0,Wells Fargo Bank,
2021-10_197500.png,Background,Chase Bank,
2021-10_205520.png,Color,Adobe,
2021-10_207140.png,0,Wells Fargo Bank,
2021-10_210678.png,Background,Chase Bank,
2021-10_216166.png,0,Wells Fargo Bank,
2021-10_218527.png,0,Wells Fargo Bank,
2021-10_226143.png,0,Wells Fargo Bank,
2021-10_226161.png,0,Wells Fargo Bank,
2021-10_226686.png,Background,Chase Bank,
2021-11_670.png,Background,LinkedIn,
2021-11_32716.png,Outdated,Microsoft Bing,
2021-11_33863.png,Background,Chase Bank,
2021-11_34684.png,Outdated,Microsoft Bing,
2021-11_35018.png,Outdated,Microsoft Bing,
2021-11_46928.png,0,Wells Fargo Bank,
2021-11_80819.png,Outdated,Microsoft Bing,
2021-11_81382.png,Outdated,Microsoft Bing,
2021-11_82898.png,Outdated,Microsoft Bing,
2021-11_83492.png,Outdated,Microsoft Bing,
2021-11_83819.png,0,Wells Fargo Bank,
2021-11_84744.png,0,Wells Fargo Bank,
2021-11_84806.png,0,Wells Fargo Bank,
2021-11_85512.png,0,Wells Fargo Bank,
2021-11_85774.png,Background,Chase Bank,
2021-11_85872.png,Background,Chase Bank,
2021-11_85959.png,0,Wells Fargo Bank,
2021-11_86650.png,Background,Chase Bank,
2021-11_87412.png,0,Orange,
2021-11_87512.png,Outdated,Microsoft Bing,
2021-11_88756.png,Outdated,Microsoft Bing,
2021-11_90385.png,0,LinkedIn,
2021-11_91122.png,Outdated,Microsoft Bing,
2021-11_92503.png,Outdated,Microsoft Bing,
2021-11_94388.png,Outdated,Microsoft Bing,
2021-11_96089.png,Deletion,Microsoft Bing,
2021-11_96494.png,Outdated,Microsoft Bing,
2021-11_97012.png,Outdated,Microsoft Bing,
2021-11_97206.png,Outdated,Microsoft Bing,
2021-11_97213.png,Outdated,Microsoft Bing,
2021-11_97719.png,Outdated,Microsoft Bing,
2021-11_99178.png,Background,Chase Bank,
2021-11_99219.png,Background,Chase Bank,
2021-11_99614.png,0,Wells Fargo Bank,
2021-11_99797.png,0,Orange,
2021-11_102743.png,0,Wells Fargo Bank,
2021-11_104056.png,Background,GoDaddy,
2021-11_105471.png,Outdated,Microsoft Bing,
2021-11_105508.png,Outdated,Microsoft Bing,
2021-11_108134.png,Outdated,Microsoft Bing,
2021-11_110991.png,Background,Chase Bank,
2021-11_111206.png,Background,Chase Bank,
2021-11_111935.png,0,Wells Fargo Bank,
2021-11_112812.png,Background,Chase Bank,
2021-11_112891.png,Background,Chase Bank,
2021-11_112951.png,Background,Chase Bank,
2021-11_138630.png,Outdated,Microsoft Bing,
2021-11_139026.png,Color,Adobe,
2021-11_144349.png,Background,Chase Bank,
2021-11_144386.png,0,Wells Fargo Bank,
2021-11_145447.png,Color,Chase Bank,
2021-11_148945.png,0,Orange,
2021-11_149363.png,0,Credit Agricole,
2021-11_150820.png,Outdated,Microsoft Bing,
2021-11_153897.png,0,Orange,
2021-11_154401.png,0,Wells Fargo Bank,
2021-11_155336.png,0,Wells Fargo Bank,
2021-11_155474.png,Background,Chase Bank,
2021-11_156740.png,0,Wells Fargo Bank,
2021-11_157033.png,0,Wells Fargo Bank,
2021-11_157087.png,0,Wells Fargo Bank,
2021-11_157286.png,0,Orange,
2021-11_159120.png,0,Wells Fargo Bank,
2021-11_159196.png,0,Wells Fargo Bank,
2021-11_159937.png,0,Wells Fargo Bank,
2021-11_160958.png,Background,Netflix,
2021-11_164627.png,Outdated,Microsoft Bing,
2021-11_164676.png,Outdated,Microsoft Bing,
2021-11_165550.png,Outdated,Microsoft Bing,
2021-11_165595.png,0,Wells Fargo Bank,
2021-11_166742.png,Outdated,Microsoft Bing,
2021-11_167709.png,Outdated,Microsoft Bing,
2021-11_170641.png,Outdated,Microsoft Bing,
2021-11_171218.png,Outdated,Microsoft Bing,
2021-11_172077.png,Outdated,Microsoft Bing,
2021-11_172974.png,Outdated,Microsoft Bing,
2021-11_175597.png,0,Wells Fargo Bank,
2021-11_176776.png,0,Orange,
2021-11_177810.png,0,Wells Fargo Bank,
2021-11_179248.png,0,Wells Fargo Bank,
2021-11_179906.png,Outdated,Microsoft Bing,
2021-11_180039.png,0,Wells Fargo Bank,
2021-11_183618.png,0,LinkedIn,
2021-11_186151.png,0,Wells Fargo Bank,
2021-12_3528.png,Background,Netflix,
2021-12_4203.png,Background,Netflix,
2021-12_6621.png,Background,Chase Bank,
2021-12_34299.png,Background,Netflix,
2021-12_34594.png,Outdated,Swiss Post,
2021-12_35012.png,Background,Itau,
2021-12_36172.png,Background,Netflix,
2021-12_38890.png,Background,LinkedIn,
2021-12_38988.png,0,LinkedIn,
2021-12_62796.png,Outdated,Swiss Post,
2021-12_63284.png,Division,Square Bank,
2021-12_90075.png,Background,Chase Bank,
2021-12_91127.png,0,Wells Fargo Bank,
2022-01_4444.png,0,Wells Fargo Bank,
